,id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment,Calculated Price
499,618bc17150ac7c17e1dec397,0,1,0,6500000,17105,6500000,17105,1,2021,0,0,7,380,4,4,560,1,1,20,Greater Cairo,,,6500000,0,0,9000000
714,61880330a512754cac8039fa,0,1,1,8750000,22727,8750000,22727,8,2021,0,0,6,385,4,4,390,1,1,0,Greater Cairo,Palm Hills Golf Views,Palm Hills,8750000,0,0,7000000
473,61eff22ff3327f214b55b5a0,1,1,0,7000000,18182,7000000,18182,1,2021,0,0,0,385,5,4,1,1,1,10,Greater Cairo,,,7000000,0,0,8000000
465,61966708d429fbcb38a4e229,0,1,0,9000000,23077,9000000,23077,1,2021,0,0,8,390,3,3,700,1,0,9,Greater Cairo,,,9000000,0,0,9000000
207,61bdb7b2e963318ba6f23578,1,1,1,9644999,24668,25975888,66435,9,2021,1,0,8,391,4,5,466,1,0,14,Greater Cairo,Mivida,Emaar Misr,2078071,8,248936,16000000
522,61966503ddc2f08892459c16,0,1,0,9000000,22556,9000000,22556,1,2021,0,0,8,399,3,3,700,1,0,9,Greater Cairo,,,9000000,0,0,9000000
713,618be0b79bb23202531d85dd,1,1,1,9500000,23750,9500000,23750,1,2021,0,0,8,400,5,5,800,1,1,0,Greater Cairo,Al Safwa 2,,9500000,0,0,15000000
718,6193ff489bb23202531fd20a,1,1,0,4500000,11250,4500000,11250,1,2021,0,0,2,400,4,3,400,1,1,10,Greater Cairo,,,4500000,0,0,5000000
862,619e8fdb02c6f31295f617a8,1,1,1,5000000,12500,5000000,12500,11,2021,0,0,2,400,4,4,460,0,1,20,Greater Cairo,Beverly Hills,Sodic,5000000,0,0,4500000
454,61a6a070c5fc8165ddfb8a32,1,1,1,5000000,12500,5000000,12500,10,2021,0,0,2,400,4,4,400,0,1,20,Greater Cairo,Beverly Hills,Sodic,5000000,0,0,4500000
656,618804151fddc365530d4fa1,1,1,1,10500000,26250,10500000,26250,4,2021,0,0,8,400,4,4,685,1,0,14,Greater Cairo,Hyde Park,HYDE PARK Development,10500000,0,0,16000000
573,618bdae750988ed12f68fc17,0,1,1,10000000,25000,10000000,25000,1,2021,0,0,8,400,5,5,485,1,1,0,Greater Cairo,Soleya,INERTIA,10000000,0,0,7000000
117,61c1975cc945558b837fef7a,1,1,1,5500000,13750,5500000,13750,12,2021,0,0,7,400,4,4,440,1,1,0,Greater Cairo,Princess,,5500000,0,0,5500000
775,61a6af19694e8021c562ca15,1,1,1,4000000,10000,4000000,10000,11,2021,0,0,2,400,5,5,400,1,1,20,Greater Cairo,Al Joman,,4000000,0,0,4000000
787,61a72efec5fc8165ddfba349,0,1,1,13000000,32500,13000000,32500,11,2021,0,0,8,400,6,6,630,1,1,20,Greater Cairo,Jeera,,13000000,0,0,13000000
274,618d3a9950988ed12f694e61,1,1,1,9000000,22500,9000000,22500,1,2021,0,0,7,400,5,6,500,1,4,1,Red Sea,La Vista 6,la vista developments,9000000,0,0,15000000
187,608c2557837a490012fa8602,1,1,1,12500000,30488,12500000,30488,12,2021,0,0,8,410,5,5,725,1,1,0,Greater Cairo,West Gate,green hills development,12500000,0,0,15000000
